,Season,Name,Last Name,Followers(k),Age,City,State,Country,Occupation,Outcome,Elimination_Week,Place,Note,Was_Bachelorette
99,19,Whitney,Bischoff,594.0,29.0,Louisville,Kentucky,USA,Fertility Nurse,Winner,10,1.0,,0
100,21,Raven,Gates,694.0,25.0,Hoxie,Arkansas,USA,Fashion Boutique Owner,Runner-Up,10,2.0,,0
101,21,Corinne,Olympios,735.0,24.0,Miami,Florida,USA,Business Owner,Week 8,8,4.0,,0
102,19,Jade,Roper,739.0,28.0,Gering,Nebraska,USA,Cosmetics Developer,Week 8,8,4.0,,0
103,19,Carly,Waddell,814.0,29.0,Arlington,Texas,USA,Cruise Ship Singer,Week 7,7,5.0,,0
104,21,Vanessa,Grimaldi,941.0,29.0,Montreal,Quebec,Canada,Special Education Teacher,Winner,10,1.0,,0
105,18,Andi,Dorfman,1000.0,26.0,Buckhead,Georgia,USA,Assistant District Attorney,Week 9,9,3.0,quit,1
106,20,Amanda,Stanton,1000.0,25.0,Rancho Santa Margarita,California,USA,Esthetician,Week 8,8,4.0,,0
107,19,Becca,Tilley,1100.0,25.0,Shreveport,Louisiana,USA,Chiropractic Assistant,Runner-up,10,2.0,,0
108,20,Becca,Tilley,1100.0,26.0,Shreveport,Louisiana,USA,Chiropractic Assistant,Week 7,7,5.0,,0
109,20,Lauren,Bushnell,1400.0,25.0,West Linn,Oregon,USA,Flight Attendant,Winner,10,1.0,,0
110,19,Kaitlyn,Bristowe,1500.0,29.0,Leduc,Alberta,Canada,Dance Instructor,Week 9,9,3.0,,1
111,20,JoJo,Fletcher,2200.0,24.0,Dallas,Texas,USA,Real Estate Developer,Runner-up,10,2.0,,1
112,1,Trista,Rehn,,29.0,Miami,Florida,USA,Miami Heat Dancer,Runner-Up,6,,,1
113,1,Amber,,,29.0,Los Angeles,California,USA,Business Development Director,Week 1,1,,,0
114,1,Daniela,,,30.0,Seattle,Washington,USA,Neuropsychologist,Week 1,1,,,0
115,1,Denise,,,30.0,Honolulu,Hawaii,USA,Doctor,Week 1,1,,,0
116,5,Dolores,Farburg,,26.0,Madison,New Jersey,USA,Account manager,Week 1,1,,,0
117,11,McCarten,Delaney,,26.0,Lemon Grove,California,USA,Account manager,Week 4,4,,,0
118,1,Kristina,,,27.0,Los Angeles,California,USA,Advertising Executive,Week 1,1,,,0
119,1,Lisa,,,29.0,Dallas,Texas,USA,Attorney,Week 1,1,,,0
120,11,Regina,Doringa,,31.0,San Diego,California,USA,Account representative,Week 1,1,,,0
121,1,Rachel,,,29.0,Eastchester,New York,USA,6th Grade Teacher,Week 1,1,,,0
122,1,Wendi,,,26.0,Dallas,Texas,USA,Technology Specialist,Week 1,1,,,0
123,1,Alexa,,,27.0,Beverly Hills,California,USA,Special Ed. Teacher,Week 2,2,,,0
124,1,Amy,,,28.0,New York,New York,USA,Production Coordinator,Week 2,2,,,0
125,1,Angela,,,25.0,Avondale,Arizona,USA,Hooters Waitress,Week 2,2,,,0
126,1,Angelique,,,27.0,Burbank,California,USA,Actress,Week 2,2,,,0
127,1,Melissa,,,25.0,Tempe,Arizona,USA,Photographer,Week 2,2,,,0
128,1,Tina,,,27.0,Plano,Texas,USA,Graduate Student,Week 2,2,,,0
129,1,Cathy,Grimes,,22.0,Terra Haute,Indiana,USA,Graduate Student,Week 3,3,,,0
130,1,Christina,,,28.0,Bonita,California,USA,Attorney,Week 3,3,,,0
131,1,LaNease,Adams,,23.0,Los Angeles,California,USA,Actress,Week 3,3,,,0
